data_item,file_or_module,field_or_metric,source_type,source_name,source_url,source_data_date,last_reviewed,validation_status,confidence,notes
Vessel profiles,data/vessels.csv,vessel_name/vessel_type/dwt,REFERENCE,Representative project vessel dataset,,,2026-08-21,REFERENCE_UNVERIFIED,MEDIUM,Values are intended to be realistic representative examples but have not been independently verified as certified particulars of named real vessels.
Vessel speed,data/vessels.csv,speed_knots,REFERENCE,Representative project vessel dataset,,,2026-08-21,REFERENCE_UNVERIFIED,MEDIUM,"Representative reference speeds; actual service speed varies by vessel, draft, weather, fouling and operating policy."
Vessel fuel burn,data/vessels.csv,fuel_burn_tpd,REFERENCE,Representative project vessel dataset,,,2026-08-21,REFERENCE_UNVERIFIED,LOW,Representative consumption assumption requiring vessel-specific validation.
Cargo capacity,data/vessels.csv,cargo_capacity_tonnes,REFERENCE,Representative project vessel dataset,,,2026-08-21,REFERENCE_UNVERIFIED,MEDIUM,"Screening capacity only; actual lift depends on DWT, bunkers, stores, draft, density, port restrictions and vessel particulars."
Vessel position,data/vessel_positions.csv,current_port,DEMO,Project demonstration dataset,,,2026-08-21,DEMO,LOW,Not live AIS or verified operational position data.
Vessel availability,data/vessel_positions.csv,available_days,DEMO,Project demonstration dataset,,,2026-08-21,DEMO,LOW,"Demonstration availability assumption, not a live fleet schedule."
Market hire rate,data/vessel_positions.csv,market_hire_rate_per_day,DEMO,Project demonstration market assumption,,,2026-08-21,DEMO,LOW,"Separated conceptually from vessel OPEX. Replace with broker, fixture, market-index or user-entered rates for real analysis."
Crew cost,data/vessel_operating_costs.csv,crew_cost_per_day,REFERENCE,Representative OPEX assumptions,,,2026-08-21,REFERENCE_UNVERIFIED,MEDIUM,Representative daily crew/labour cost assumption by vessel class; not independently benchmarked yet.
Insurance cost,data/vessel_operating_costs.csv,insurance_cost_per_day,REFERENCE,Representative OPEX assumptions,,,2026-08-21,REFERENCE_UNVERIFIED,MEDIUM,Representative daily insurance allocation; actual owner cost varies substantially.
Maintenance cost,data/vessel_operating_costs.csv,maintenance_cost_per_day,REFERENCE,Representative OPEX assumptions,,,2026-08-21,REFERENCE_UNVERIFIED,MEDIUM,Representative maintenance provision rather than audited vessel expenditure.
Technical management cost,data/vessel_operating_costs.csv,technical_management_cost_per_day,REFERENCE,Representative OPEX assumptions,,,2026-08-21,REFERENCE_UNVERIFIED,MEDIUM,Representative technical-management allocation.
Stores cost,data/vessel_operating_costs.csv,stores_cost_per_day,REFERENCE,Representative OPEX assumptions,,,2026-08-21,REFERENCE_UNVERIFIED,MEDIUM,Representative stores/consumables allocation.
Administration overhead,data/vessel_operating_costs.csv,admin_overhead_cost_per_day,REFERENCE,Representative OPEX assumptions,,,2026-08-21,REFERENCE_UNVERIFIED,MEDIUM,Representative shore/admin overhead allocation.
Total vessel OPEX,data/vessel_operating_costs.csv,total_opex_per_day,CALCULATED,Sum of project OPEX components,,,2026-08-21,FORMULA_VALIDATED,MEDIUM,Arithmetic total can be validated internally; component assumptions themselves remain unverified.
Cargo opportunities,data/cargoes.csv,cargo_id/load_port/discharge_port,DEMO,Project demonstration cargo book,,,2026-08-21,DEMO,LOW,"Demonstration fixtures, not a live cargo-order book."
Cargo quantity,data/cargoes.csv,cargo_tonnes,DEMO,Project demonstration cargo book,,,2026-08-21,DEMO,LOW,Sample cargo quantity unless replaced by a real fixture/user input.
Freight rate,data/cargoes.csv,freight_rate,DEMO,Project demonstration cargo book,,,2026-08-21,DEMO,LOW,Sample freight rate unless replaced with a current market quote/fixture/user input.
Cargo commodity labels,data/cargoes.csv,cargo_name/cargo_type,REFERENCE,Representative dry-bulk cargo set,,,2026-08-21,REFERENCE_UNVERIFIED,MEDIUM,Commodity names are realistic shipping cargo categories; individual cargo records remain demonstrations.
Cargo stowage factor,data/cargo_stowage_factors.csv,stowage_factor_m3_per_tonne,REFERENCE,Representative stowage assumptions,,,2026-08-21,REFERENCE_UNVERIFIED,MEDIUM,Values require independent cargo-reference verification before operational use.
Stowage planner,pages/11_stowage_planner.py,weight/volume screening,CALCULATED,Internal screening model,,,2026-08-21,SCREENING_ONLY,LOW,"Screening only. Not a stability, trim, longitudinal strength, dangerous-goods or class-approved loading calculation."
Port congestion delay,data/port_congestion.csv,delay_days,DEMO,Project demonstration congestion dataset,,,2026-08-21,DEMO,LOW,Not live port waiting-time data.
Port congestion level,data/port_congestion.csv,congestion_level,DEMO,Project demonstration congestion dataset,,,2026-08-21,DEMO,LOW,Categorical demonstration assumption.
Berth utilization,data/port_congestion.csv,berth_utilization_pct,DEMO,Project demonstration congestion dataset,,,2026-08-21,DEMO,LOW,Not verified against port/terminal operational data.
Waiting risk score,data/port_congestion.csv,waiting_risk_score,MODELLED,Internal risk score,,,2026-08-21,MODELLED_UNVALIDATED,LOW,Internal model score rather than an independently validated market or operational measure.
Laytime arithmetic,pages/9_laytime_calculator.py,allowed/used laytime,CALCULATED,Internal formula,,,2026-08-21,FORMULA_VALIDATED,MEDIUM,"Basic arithmetic can be validated; actual charter-party laytime treatment may include exceptions, notices, reversible/non-reversible terms and other clauses."
Demurrage/dispatch,pages/13_demurrage_dispatch_optimizer.py,demurrage/dispatch result,CALCULATED,Internal commercial model,,,2026-08-21,FORMULA_VALIDATED,MEDIUM,Formula-level validation only. Actual entitlement depends on charter-party wording and facts.
Fleet assignment,pages/10_fleet_optimizer.py,vessel/cargo assignment,MODELLED,Internal optimization logic,,,2026-08-21,INTERNALLY_TESTED,MEDIUM,Transparent capacity-based optimization; does not yet prove globally optimal real-world fleet economics.
Market freight engine,pages/15_market_freight_engine.py,freight estimate,MODELLED,Internal market model,,,2026-08-21,MODELLED_UNVALIDATED,LOW,Requires comparison against independent historical/current freight benchmarks.
Fleet P&L,pages/16_fleet_pnl_dashboard.py,fleet profit/loss,CALCULATED,Internal aggregation,,,2026-08-21,TO_VALIDATE,MEDIUM,Arithmetic should be internally reconciled; economic accuracy inherits uncertainty from underlying voyage inputs.
Master dashboard,pages/99_shipping_dashboard.py,commercial recommendation,MODELLED,Combined project decision logic,,,2026-08-21,MODELLED_UNVALIDATED,LOW,"Recommendation inherits uncertainty from routing, vessel, freight, congestion, OPEX and other assumptions. Do not treat as real-world validated yet."
Historical voyage validation,data/historical_voyages.csv,predicted versus actual outcomes,NOT_YET_AVAILABLE,Future independent validation dataset,,,2026-08-21,NOT_STARTED,NONE,Future stage: compare model predictions against completed voyages without using actual outcomes to construct the prediction.
